Aube|11|35|387_GG_13_04bis|Saint-Nizier (TROYES)|1645 - 1661|Mariage|91|https://www.archives-aube.fr/_recherche-images/download/395144/image/65137/0/full/max/0/default.jpg
Aube|11|36|387_GG_13_06|Saint-Nizier (TROYES)|1645 - 1668|Baptême_Mariage|280|https://www.archives-aube.fr/_recherche-images/download/395147/image/65140/0/full/max/0/default.jpg
Aube|11|38|387_GG_TA_06|Saint-Nizier (TROYES)|1651 - 1660|Baptême|175|https://www.archives-aube.fr/_recherche-images/download/396240/image/66232/0/full/max/0/default.jpg
Aube|11|39|387_GG_13_05bis|Saint-Nizier (TROYES)|1661 - 1670|Mariage|97|https://www.archives-aube.fr/_recherche-images/download/395146/image/65139/0/full/max/0/default.jpg
Aube|11|40|387_GG_TA_07|Saint-Nizier (TROYES)|1661 - 1670|Baptême|191|https://www.archives-aube.fr/_recherche-images/download/396257/image/66249/0/full/max/0/default.jpg
Aube|11|41|387_GG_TA_23|Saint-Nizier (TROYES)|1661 - 1670|Mariage|50|https://www.archives-aube.fr/_recherche-images/download/396497/image/66489/0/full/max/0/default.jpg
Aube|11|42|387_GG_13_07|Saint-Nizier (TROYES)|1668 - 1669|Baptême_Mariage_Sépulture|129|https://www.archives-aube.fr/_recherche-images/download/395149/image/65142/0/full/max/0/default.jpg
Aube|11|43|387_GG_TA13_01|Saint-Nizier (TROYES)|1668 - 1718|Baptême_Mariage_Sépulture|219|https://www.archives-aube.fr/_recherche-images/download/397103/image/67001/0/full/max/0/default.jpg
Aube|11|44|387_GG_13_08|Saint-Nizier (TROYES)|1669 - 1670|Baptême_Mariage_Sépulture|92|https://www.archives-aube.fr/_recherche-images/download/395150/image/65143/0/full/max/0/default.jpg
Aube|11|45|387_GG_13_09|Saint-Nizier (TROYES)|1670 - 1670|Baptême_Mariage_Sépulture|95|https://www.archives-aube.fr/_recherche-images/download/395151/image/65144/0/full/max/0/default.jpg
Aube|11|46|387_GG_13_10|Saint-Nizier (TROYES)|1670 - 1671|Baptême_Mariage_Sépulture|95|https://www.archives-aube.fr/_recherche-images/download/395152/image/65145/0/full/max/0/default.jpg
Aube|11|47|387_GG_TA_08|Saint-Nizier (TROYES)|1671 - 1680|Baptême|174|https://www.archives-aube.fr/_recherche-images/download/396274/image/66266/0/full/max/0/default.jpg
Aube|11|48|387_GG_TA_24|Saint-Nizier (TROYES)|1671 - 1680|Mariage|33|https://www.archives-aube.fr/_recherche-images/download/396608/image/66506/0/full/max/0/default.jpg
Aube|11|49|387_GG_TA_39|Saint-Nizier (TROYES)|1671 - 1680|Décès|148|https://www.archives-aube.fr/_recherche-images/download/396832/image/66730/0/full/max/0/default.jpg
Aube|11|56|387_GG_13_17|Saint-Nizier (TROYES)|1678 - 1678|Baptême_Mariage_Sépulture_Table alphabétique|53|https://www.archives-aube.fr/_recherche-images/download/395159/image/65152/0/full/max/0/default.jpg
Aube|11|62|387_GG_TA_40|Saint-Nizier (TROYES)|1681 - 1690|Décès|126|https://www.archives-aube.fr/_recherche-images/download/396849/image/66747/0/full/max/0/default.jpg
Aube|11|72|387_GG_TA_41|Saint-Nizier (TROYES)|1691 - 1700|Décès|154|https://www.archives-aube.fr/_recherche-images/download/396866/image/66764/0/full/max/0/default.jpg
Aube|11|92|387_GG_13_40|Saint-Nizier (TROYES)|1713 - 1714|Baptême_Mariage_Sépulture_Table alphabétique|36|https://www.archives-aube.fr/_recherche-images/download/395184/image/65177/0/full/max/0/default.jpg
Aube|12|3|387_GG_13_48|Saint-Nizier (TROYES)|1723 - 1724|Baptême_Mariage_Sépulture_Table alphabétique|78|https://www.archives-aube.fr/_recherche-images/download/395192/image/65185/0/full/max/0/default.jpg
Aube|12|6|387_GG_13_51|Saint-Nizier (TROYES)|1726 - 1727|Baptême_Mariage_Sépulture_Table alphabétique|63|https://www.archives-aube.fr/_recherche-images/download/395195/image/65188/0/full/max/0/default.jpg
Aube|12|14|387_GG_TA_45|Saint-Nizier (TROYES)|1731 - 1740|Décès|142|https://www.archives-aube.fr/_recherche-images/download/396934/image/66832/0/full/max/0/default.jpg
Aube|12|42|387_GG_13_78|Saint-Nizier (TROYES)|1753 - 1753|Baptême_Mariage_Sépulture|60|https://www.archives-aube.fr/_recherche-images/download/395222/image/65215/0/full/max/0/default.jpg
Aube|12|50|387_GG_13_86|Saint-Nizier (TROYES)|1761 - 1761|Baptême_Mariage_Sépulture_Table alphabétique|59|https://www.archives-aube.fr/_recherche-images/download/395230/image/65223/0/full/max/0/default.jpg
Aube|12|51|387_GG_TA_17|Saint-Nizier (TROYES)|1761 - 1770|Baptême|141|https://www.archives-aube.fr/_recherche-images/download/396427/image/66419/0/full/max/0/default.jpg
Aube|12|58|387_GG_13_91|Saint-Nizier (TROYES)|1766 - 1767|Baptême_Mariage_Sépulture_Table alphabétique|67|https://www.archives-aube.fr/_recherche-images/download/395235/image/65228/0/full/max/0/default.jpg
Aube|12|61|387_GG_13_94|Saint-Nizier (TROYES)|1769 - 1769|Baptême_Mariage_Sépulture_Table alphabétique|54|https://www.archives-aube.fr/_recherche-images/download/395238/image/65231/0/full/max/0/default.jpg
Aube|12|66|387_GG_TA_49|Saint-Nizier (TROYES)|1771 - 1780|Décès|148|https://www.archives-aube.fr/_recherche-images/download/397002/image/66900/0/full/max/0/default.jpg
Aube|12|71|387_GG_13_101|Saint-Nizier (TROYES)|1776 - 1776|Baptême_Mariage_Sépulture_Table alphabétique|80|https://www.archives-aube.fr/_recherche-images/download/395245/image/65238/0/full/max/0/default.jpg
Aube|12|72|387_GG_13_102|Saint-Nizier (TROYES)|1777 - 1777|Baptême_Mariage_Sépulture_Table alphabétique|91|https://www.archives-aube.fr/_recherche-images/download/395246/image/65239/0/full/max/0/default.jpg
Aube|12|76|387_GG_13_106|Saint-Nizier (TROYES)|1781 - 1781|Baptême_Mariage_Sépulture_Table alphabétique|95|https://www.archives-aube.fr/_recherche-images/download/395250/image/65243/0/full/max/0/default.jpg
Aube|12|88|387_GG_13_115|Saint-Nizier (TROYES)|1790 - 1790|Baptême_Mariage_Sépulture_Table alphabétique|106|https://www.archives-aube.fr/_recherche-images/download/395259/image/65252/0/full/max/0/default.jpg
Aube|12|93|387_GG_18_03|Saint-Pantaleon (TROYES)|1671 - 1679|Sépulture_Mariage|68|https://www.archives-aube.fr/_recherche-images/download/395338/image/65331/0/full/max/0/default.jpg
Aube|13|6|387_GG_18_15|Saint-Pantaleon (TROYES)|1734 - 1750|Baptême_Mariage_Sépulture|202|https://www.archives-aube.fr/_recherche-images/download/395351/image/65344/0/full/max/0/default.jpg
Aube|13|7|387_GG_18_16|Saint-Pantaleon (TROYES)|1751 - 1763|Baptême_Mariage_Sépulture|306|https://www.archives-aube.fr/_recherche-images/download/395352/image/65345/0/full/max/0/default.jpg
Aube|13|8|387_GG_18_18|Saint-Pantaleon (TROYES)|1775 - 1783|Baptême_Mariage_Sépulture|280|https://www.archives-aube.fr/_recherche-images/download/395354/image/65347/0/full/max/0/default.jpg
Aube|13|9|387_GG_18_19|Saint-Pantaleon (TROYES)|1784 - 1789|Baptême_Mariage_Sépulture|348|https://www.archives-aube.fr/_recherche-images/download/395355/image/65348/0/full/max/0/default.jpg
Aube|13|12|387_GG_18_22|Saint-Pantaleon (TROYES)|1792 - 1792|Baptême_Mariage_Sépulture|104|https://www.archives-aube.fr/_recherche-images/download/395358/image/65351/0/full/max/0/default.jpg
Aube|13|15|387_GG_TA_01|Saint-Pierre (TROYES)|1601 - 1610|Baptême|180|https://www.archives-aube.fr/_recherche-images/download/396156/image/66148/0/full/max/0/default.jpg
Aube|13|16|387_GG_TA_22|Saint-Pierre (TROYES)|1608 - 1660|Mariage|82|https://www.archives-aube.fr/_recherche-images/download/396481/image/66473/0/full/max/0/default.jpg
Aube|13|18|387_GG_TA_03|Saint-Pierre (TROYES)|1611 - 1620|Baptême|176|https://www.archives-aube.fr/_recherche-images/download/396190/image/66182/0/full/max/0/default.jpg
Aube|13|19|387_GG_TA_04|Saint-Pierre (TROYES)|1631 - 1640|Baptême|184|https://www.archives-aube.fr/_recherche-images/download/396207/image/66199/0/full/max/0/default.jpg
Aube|13|20|387_GG_TA_05|Saint-Pierre (TROYES)|1641 - 1650|Baptême|198|https://www.archives-aube.fr/_recherche-images/download/396224/image/66216/0/full/max/0/default.jpg
Aube|13|22|387_GG_TA_07|Saint-Pierre (TROYES)|1661 - 1670|Baptême|191|https://www.archives-aube.fr/_recherche-images/download/396258/image/66250/0/full/max/0/default.jpg
Aube|13|23|387_GG_TA_23|Saint-Pierre (TROYES)|1661 - 1670|Mariage|50|https://www.archives-aube.fr/_recherche-images/download/396498/image/66490/0/full/max/0/default.jpg
Aube|13|25|387_GG_TA_24|Saint-Pierre (TROYES)|1671 - 1680|Mariage|33|https://www.archives-aube.fr/_recherche-images/download/396609/image/66507/0/full/max/0/default.jpg
Aube|13|30|387_GG_TA_10|Saint-Pierre (TROYES)|1691 - 1700|Baptême|141|https://www.archives-aube.fr/_recherche-images/download/396309/image/66301/0/full/max/0/default.jpg
Aube|13|33|387_GG_14_01|Saint-Pierre (TROYES)|1692 - 1770|Baptême_Mariage_Sépulture|238|https://www.archives-aube.fr/_recherche-images/download/395261/image/65254/0/full/max/0/default.jpg
Aube|13|36|387_GG_TA_42|Saint-Pierre (TROYES)|1701 - 1710|Décès|160|https://www.archives-aube.fr/_recherche-images/download/396884/image/66782/0/full/max/0/default.jpg
